state,fips,report_type,demographic_type,group,count,pct
Texas,48,cases,ages,<1 year,149,0.00316496027868644
Texas,48,cases,ages,1-9 years,686,0.014571562088449
Texas,48,cases,ages,10-19 years,1806,0.0383618675389779
Texas,48,cases,ages,20-29 years,8997,0.191108373337865
Texas,48,cases,ages,30-39 years,9963,0.211627511788946
Texas,48,cases,ages,40-49 years,9029,0.191788096350737
Texas,48,cases,ages,50-59 years,7956,0.168996134075364
Texas,48,cases,ages,60-64 years,3006,0.0638514805216874
Texas,48,cases,ages,65-69 years,2089,0.0443731679340669
Texas,48,cases,ages,70-74 years,1231,0.0261480946514295
Texas,48,cases,ages,75-79 years,814,0.017290454139938
Texas,48,cases,ages,80+ years,1326,0.028166022345894
Texas,48,cases,ages,Unknown,26,5.52274947958707e-4
Texas,48,cases,gender,Female,15897,0.337673647988445
Texas,48,cases,gender,Male,30177,0.641000042482688
Texas,48,cases,gender,Unknown,1004,0.021326309528867
Texas,48,cases,race,Asian,745,0.0158248013934322
Texas,48,cases,race,Black,7522,0.159777390713284
Texas,48,cases,race,Hispanic,18750,0.398275202854837
Texas,48,cases,race,Other,208,0.00441819958366965
Texas,48,cases,race,White,13303,0.282573601257488
Texas,48,cases,race,Unknown,6550,0.13913080419729
Texas,48,fatalities,ages,<1 year,3,2.54129606099111e-4
Texas,48,fatalities,ages,1-9 years,5,4.23549343498518e-4
Texas,48,fatalities,ages,10-19 years,11,9.31808555696739e-4
Texas,48,fatalities,ages,20-29 years,80,0.00677678949597628
Texas,48,fatalities,ages,30-39 years,230,0.0194832698009318
Texas,48,fatalities,ages,40-49 years,635,0.0537907666243117
Texas,48,fatalities,ages,50-59 years,1402,0.118763235916984
Texas,48,fatalities,ages,60-64 years,1134,0.0960609911054638
Texas,48,fatalities,ages,65-69 years,1371,0.116137229987294
Texas,48,fatalities,ages,70-74 years,1540,0.130453197797543
Texas,48,fatalities,ages,75-79 years,1451,0.12291401948327
Texas,48,fatalities,ages,80+ years,3943,0.334011012282931
Texas,48,fatalities,ages,Unknown,0,0
Texas,48,fatalities,gender,Female,4898,0.414908936891148
Texas,48,fatalities,gender,Male,6907,0.585091063108852
Texas,48,fatalities,gender,Unknown,0,0
Texas,48,fatalities,race,Asian,248,0.0210080474375265
Texas,48,fatalities,race,Black,1406,0.119102075391783
Texas,48,fatalities,race,Hispanic,6464,0.547564591274884
Texas,48,fatalities,race,Other,69,0.00584498094027954
Texas,48,fatalities,race,White,3614,0.306141465480729
Texas,48,fatalities,race,Unknown,4,3.38839474798814e-4
